dataset,seed,tau,mean_var_hard,mean_var_soft,effective_n,top_weight
breast_cancer,3,0.02,0.006453415851812288,0.009090861686822901,135.83135103773222,0.01924136931042994
breast_cancer,3,0.05,0.006453415851812288,0.011075171662190957,199.7888435536369,0.008703644726710456
breast_cancer,4,0.001,0.0013094593587432868,0.00029715938730007126,20.635323648445137,0.07524542002750492
breast_cancer,4,0.005,0.0013094593587432868,0.0033685214385417456,41.47890394395643,0.034862888326882474
breast_cancer,4,0.01,0.0013094593587432868,0.005719148524187313,85.55320104835306,0.02018661733905441
breast_cancer,4,0.02,0.0013094593587432868,0.006890126995330492,150.95892283787188,0.01156384817687915
breast_cancer,4,0.05,0.0013094593587432868,0.008778445508950697,202.03376502760753,0.007025648776960774
breast_cancer,5,0.001,0.0004985208917935627,0.000694051060913817,2.504139732224523,0.6158917538077318
breast_cancer,5,0.005,0.0004985208917935627,0.005692421462492655,73.7900625652655,0.04311812857088562
breast_cancer,5,0.01,0.0004985208917935627,0.006742748766262878,134.93834884822147,0.01787566700072191
breast_cancer,5,0.02,0.0004985208917935627,0.007362335321262156,174.90832012104119,0.010109411938126896
breast_cancer,5,0.05,0.0004985208917935627,0.009407222581033233,207.04312939938865,0.006540303506176661
breast_cancer,6,0.001,0.0025604917871842915,0.0006585160322359931,1.8376556632220602,0.7179744167653559
breast_cancer,6,0.005,0.0025604917871842915,0.0033945287359947464,46.22876625943061,0.07684586711214064
breast_cancer,6,0.01,0.0025604917871842915,0.004012271751630554,125.1764742912618,0.02477701023175843
breast_cancer,6,0.02,0.0025604917871842915,0.0047469223558087165,175.78358064317342,0.01187231187932549
breast_cancer,6,0.05,0.0025604917871842915,0.0068596584512650395,210.28881642809296,0.006909243580159978
breast_cancer,7,0.001,0.008919644281133891,0.0027350073561219156,1.434222295037588,0.8315574810430636
breast_cancer,7,0.005,0.008919644281133891,0.009879533254151796,60.154315843550094,0.0633329869579563
breast_cancer,7,0.01,0.008919644281133891,0.010212404787906307,130.0038399858887,0.022071756449761927
breast_cancer,7,0.02,0.008919644281133891,0.010774782593535724,177.49071661898847,0.011151431634053691
breast_cancer,7,0.05,0.008919644281133891,0.012659921230721797,212.22774523791267,0.006701618921820915
breast_cancer,8,0.001,0.0008625625549567236,0.0010237671924189483,7.757018565782969,0.26019852115519154
breast_cancer,8,0.005,0.0008625625549567236,0.004730722367727706,42.84173720548135,0.0468167001601688
breast_cancer,8,0.01,0.0008625625549567236,0.0063920820447190985,100.61418564032262,0.02157102546664503
breast_cancer,8,0.02,0.0008625625549567236,0.007155179074889502,164.73335392103095,0.011443124563780424
breast_cancer,8,0.05,0.0008625625549567236,0.00915681680985458,207.8179256461797,0.006866527922971557
breast_cancer,9,0.001,0.0014913943268504073,0.0007405393872002526,17.446080593207284,0.13392130372901048
breast_cancer,9,0.005,0.0014913943268504073,0.003963046739711416,40.37843202362534,0.040370797818869805
breast_cancer,9,0.01,0.0014913943268504073,0.006247916246635953,88.71024247157041,0.021332747006467635
breast_cancer,9,0.02,0.0014913943268504073,0.007388753355383632,155.33345435683952,0.011719009094490867
breast_cancer,9,0.05,0.0014913943268504073,0.009272224326463319,206.5371639133509,0.006970044460076788
