method,label,bootstrap,rule_rank,in_bag_support,in_bag_purity,oob_support,oob_purity,oob_lift,outer_seed
tree,HH,40,0,34,0.6176470588235294,14,0.5714285714285714,8.500736377025037,6
tree,HH,40,1,489,0.05725971370143149,186,0.0967741935483871,1.4396408380445627,6
tree,HH,40,2,27,1.0,14,0.7857142857142857,11.688512518409427,6
tree,HH,41,0,15,0.26666666666666666,7,0.42857142857142855,6.375552282768778,6
tree,HH,41,1,29,0.8275862068965517,8,0.625,9.297680412371134,6
tree,HH,41,2,202,0.1782178217821782,79,0.10126582278481013,1.506459611118361,6
tree,HH,41,3,14,0.7857142857142857,5,1.0,14.876288659793815,6
tree,HH,41,4,20,1.0,6,1.0,14.876288659793815,6
tree,HH,42,0,447,0.1476510067114094,154,0.14285714285714285,2.125184094256259,6
tree,HH,42,1,15,0.6666666666666666,2,0.5,7.438144329896907,6
tree,HH,42,2,21,1.0,8,1.0,14.876288659793815,6
tree,HH,43,0,385,0.12207792207792208,151,0.17218543046357615,2.5614801665870144,6
tree,HH,43,1,16,0.8125,2,0.5,7.438144329896907,6
tree,HH,43,2,24,1.0,10,1.0,14.876288659793815,6
tree,HH,44,0,380,0.1394736842105263,137,0.145985401459854,2.1717209722326736,6
tree,HH,44,1,38,1.0,7,0.8571428571428571,12.751104565537556,6
tree,HH,45,0,403,0.12406947890818859,179,0.15083798882681565,2.243909462650464,6
tree,HH,45,1,12,0.75,9,0.3333333333333333,4.958762886597938,6
tree,HH,45,2,19,1.0,8,1.0,14.876288659793815,6
tree,HH,46,0,307,0.1758957654723127,120,0.16666666666666666,2.479381443298969,6
tree,HH,46,1,30,1.0,16,0.8125,12.086984536082475,6
tree,HH,47,0,26,0.6538461538461539,20,0.5,7.438144329896907,6
tree,HH,47,1,314,0.1178343949044586,107,0.08411214953271028,1.2512766162443396,6
tree,HH,47,2,11,0.9090909090909091,2,1.0,14.876288659793815,6
tree,HH,47,3,27,1.0,7,0.7142857142857143,10.625920471281297,6
tree,HH,48,0,437,0.13958810068649885,162,0.1419753086419753,2.112065673921344,6
tree,HH,48,1,15,0.8,2,0.5,7.438144329896907,6
tree,HH,48,2,25,1.0,8,1.0,14.876288659793815,6
tree,HH,49,0,24,0.25,14,0.6428571428571429,9.563328424153168,6
