hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
alpha,0.04995885208223649,4,50,0.0020178560955416347,numeric_exact,4,11,compas,5,MLP,full_pool,non_HH,50
activation,0.028626428266107198,2,50,0.0020178560955416347,categorical_exact,2,25,compas,5,MLP,full_pool,non_HH,50
max_depth,0.37178931884857874,4,42,0.006460546154203242,numeric_exact,4,9,compas,5,RF,full_pool,non_HH,50
min_samples_split,0.17493307346459483,3,50,0.006376047243014591,numeric_exact,3,12,compas,5,RF,full_pool,non_HH,50
min_samples_leaf,0.11413552393037484,3,50,0.006376047243014591,numeric_exact,3,12,compas,5,RF,full_pool,non_HH,50
max_features,0.014326631778936562,3,50,0.006376047243014591,categorical_exact,3,11,compas,5,RF,full_pool,non_HH,50
n_estimators,0.01281080852807355,3,50,0.006376047243014591,numeric_exact,3,12,compas,5,RF,full_pool,non_HH,50
weights,0.218620511732414,2,50,0.01869978619323468,categorical_exact,2,24,compas,5,kNN,full_pool,non_HH,50
n_neighbors,0.19580249719694134,3,50,0.01869978619323468,numeric_tertile,3,14,compas,5,kNN,full_pool,non_HH,50
p,3.2082287339727496e-06,2,50,0.01869978619323468,numeric_exact,2,25,compas,5,kNN,full_pool,non_HH,50
learning_rate,0.11743258411656812,4,50,0.0036265459845888095,numeric_exact,4,9,compas,6,GBM,full_pool,all,50
max_depth,0.07030330121655819,4,50,0.0036265459845888095,numeric_exact,4,11,compas,6,GBM,full_pool,all,50
n_estimators,0.010810481012892267,3,50,0.0036265459845888095,numeric_exact,3,15,compas,6,GBM,full_pool,all,50
subsample,0.006749279633828134,3,50,0.0036265459845888095,numeric_exact,3,12,compas,6,GBM,full_pool,all,50
C,0.5041836932818107,3,50,0.005440004636339431,numeric_tertile,3,13,compas,6,LogReg,full_pool,all,50
l1_ratio,0.052800524585177144,3,50,0.005440004636339431,numeric_tertile,3,11,compas,6,LogReg,full_pool,all,50
learning_rate_init,0.10053000908726092,3,50,0.002658022833593698,numeric_exact,3,13,compas,6,MLP,full_pool,all,50
alpha,0.07244909623944094,4,50,0.002658022833593698,numeric_exact,4,10,compas,6,MLP,full_pool,all,50
hidden_layer_sizes,0.03279699612417786,5,50,0.002658022833593698,categorical_exact,5,7,compas,6,MLP,full_pool,all,50
activation,0.010419482637481832,2,50,0.002658022833593698,categorical_exact,2,23,compas,6,MLP,full_pool,all,50
max_depth,0.5151360449501263,4,38,0.006363328719872751,numeric_exact,4,7,compas,6,RF,full_pool,all,50
min_samples_split,0.22427958318754268,3,50,0.006417793902747199,numeric_exact,3,15,compas,6,RF,full_pool,all,50
min_samples_leaf,0.15787977622161994,3,50,0.006417793902747199,numeric_exact,3,11,compas,6,RF,full_pool,all,50
max_features,0.051893915011777286,3,50,0.006417793902747199,categorical_exact,3,15,compas,6,RF,full_pool,all,50
n_estimators,0.04155656443359824,3,50,0.006417793902747199,numeric_exact,3,14,compas,6,RF,full_pool,all,50
weights,0.2697471815314676,2,50,0.020378775423705857,categorical_exact,2,25,compas,6,kNN,full_pool,all,50
n_neighbors,0.12993616905277205,3,50,0.020378775423705857,numeric_tertile,3,15,compas,6,kNN,full_pool,all,50
p,7.257122223601157e-06,2,50,0.020378775423705857,numeric_exact,2,24,compas,6,kNN,full_pool,all,50
learning_rate,0.11810749690778403,4,50,0.0048611470629844515,numeric_exact,4,9,compas,6,GBM,full_pool,HH,50
max_depth,0.09475331471704077,4,50,0.0048611470629844515,numeric_exact,4,11,compas,6,GBM,full_pool,HH,50
subsample,0.007704571200506432,3,50,0.0048611470629844515,numeric_exact,3,12,compas,6,GBM,full_pool,HH,50
n_estimators,0.0066226201228051194,3,50,0.0048611470629844515,numeric_exact,3,15,compas,6,GBM,full_pool,HH,50
C,0.49321609440169106,3,50,0.007062437984141956,numeric_tertile,3,13,compas,6,LogReg,full_pool,HH,50
l1_ratio,0.05138243772653647,3,50,0.007062437984141956,numeric_tertile,3,11,compas,6,LogReg,full_pool,HH,50
alpha,0.06882056602532138,4,50,0.003220613731200257,numeric_exact,4,10,compas,6,MLP,full_pool,HH,50
learning_rate_init,0.04487795944353295,3,50,0.003220613731200257,numeric_exact,3,13,compas,6,MLP,full_pool,HH,50
hidden_layer_sizes,0.02433325475252027,5,50,0.003220613731200257,categorical_exact,5,7,compas,6,MLP,full_pool,HH,50
activation,0.009297525511448466,2,50,0.003220613731200257,categorical_exact,2,23,compas,6,MLP,full_pool,HH,50
max_depth,0.4986505228546348,4,38,0.011427192489911808,numeric_exact,4,7,compas,6,RF,full_pool,HH,50
min_samples_split,0.21649137114203826,3,50,0.011452773311191196,numeric_exact,3,15,compas,6,RF,full_pool,HH,50
min_samples_leaf,0.1715690101441121,3,50,0.011452773311191196,numeric_exact,3,11,compas,6,RF,full_pool,HH,50
max_features,0.07310333868846118,3,50,0.011452773311191196,categorical_exact,3,15,compas,6,RF,full_pool,HH,50
n_estimators,0.03227178896200719,3,50,0.011452773311191196,numeric_exact,3,14,compas,6,RF,full_pool,HH,50
weights,0.29509697729675943,2,50,0.042603363601782254,categorical_exact,2,25,compas,6,kNN,full_pool,HH,50
n_neighbors,0.19902318691140114,3,50,0.042603363601782254,numeric_tertile,3,15,compas,6,kNN,full_pool,HH,50
p,1.6127623089481083e-05,2,50,0.042603363601782254,numeric_exact,2,24,compas,6,kNN,full_pool,HH,50
learning_rate,0.11748624844241665,4,50,0.003540517443914835,numeric_exact,4,9,compas,6,GBM,full_pool,non_HH,50
max_depth,0.0674846845137972,4,50,0.003540517443914835,numeric_exact,4,11,compas,6,GBM,full_pool,non_HH,50
n_estimators,0.011344432137902895,3,50,0.003540517443914835,numeric_exact,3,15,compas,6,GBM,full_pool,non_HH,50
subsample,0.006962918287948563,3,50,0.003540517443914835,numeric_exact,3,12,compas,6,GBM,full_pool,non_HH,50
C,0.504933537555319,3,50,0.0053269514601397,numeric_tertile,3,13,compas,6,LogReg,full_pool,non_HH,50
l1_ratio,0.0529422588910347,3,50,0.0053269514601397,numeric_tertile,3,11,compas,6,LogReg,full_pool,non_HH,50
learning_rate_init,0.10733458521935305,3,50,0.0026188207992163697,numeric_exact,3,13,compas,6,MLP,full_pool,non_HH,50
alpha,0.07301785204921958,4,50,0.0026188207992163697,numeric_exact,4,10,compas,6,MLP,full_pool,non_HH,50
hidden_layer_sizes,0.03380038269049214,5,50,0.0026188207992163697,categorical_exact,5,7,compas,6,MLP,full_pool,non_HH,50
activation,0.010467837549078925,2,50,0.0026188207992163697,categorical_exact,2,23,compas,6,MLP,full_pool,non_HH,50
max_depth,0.5155019177899355,4,38,0.006010472386007912,numeric_exact,4,7,compas,6,RF,full_pool,non_HH,50
min_samples_split,0.22494836953418249,3,50,0.006066950267169929,numeric_exact,3,15,compas,6,RF,full_pool,non_HH,50
min_samples_leaf,0.15536725659137332,3,50,0.006066950267169929,numeric_exact,3,11,compas,6,RF,full_pool,non_HH,50
max_features,0.048820418410043746,3,50,0.006066950267169929,categorical_exact,3,15,compas,6,RF,full_pool,non_HH,50
n_estimators,0.0429014515298112,3,50,0.006066950267169929,numeric_exact,3,14,compas,6,RF,full_pool,non_HH,50
weights,0.24453634610569508,2,50,0.018830138441690153,categorical_exact,2,25,compas,6,kNN,full_pool,non_HH,50
n_neighbors,0.16111853920481017,3,50,0.018830138441690153,numeric_tertile,3,15,compas,6,kNN,full_pool,non_HH,50
p,1.0891080694708031e-05,2,50,0.018830138441690153,numeric_exact,2,24,compas,6,kNN,full_pool,non_HH,50
learning_rate,0.08611234000500569,4,50,0.004870952395614415,numeric_exact,4,8,compas,7,GBM,full_pool,all,50
max_depth,0.05388236487507204,4,50,0.004870952395614415,numeric_exact,4,10,compas,7,GBM,full_pool,all,50
subsample,0.03710147642342211,3,50,0.004870952395614415,numeric_exact,3,14,compas,7,GBM,full_pool,all,50
n_estimators,0.014474711885011371,3,50,0.004870952395614415,numeric_exact,3,15,compas,7,GBM,full_pool,all,50
C,0.3955084545456859,3,50,0.005279995164268578,numeric_tertile,3,14,compas,7,LogReg,full_pool,all,50
l1_ratio,0.057944383912036004,3,50,0.005279995164268578,numeric_tertile,3,10,compas,7,LogReg,full_pool,all,50
learning_rate_init,0.18460991816825842,3,50,0.002395423319293095,numeric_exact,3,16,compas,7,MLP,full_pool,all,50
hidden_layer_sizes,0.10742732329559893,5,50,0.002395423319293095,categorical_exact,5,7,compas,7,MLP,full_pool,all,50
alpha,0.049278909917933836,4,50,0.002395423319293095,numeric_exact,4,10,compas,7,MLP,full_pool,all,50
activation,0.000317528893343885,2,50,0.002395423319293095,categorical_exact,2,22,compas,7,MLP,full_pool,all,50
max_depth,0.41667481015445684,4,42,0.006862229375708261,numeric_exact,4,7,compas,7,RF,full_pool,all,50
min_samples_split,0.16965865979682426,3,50,0.0067014797995564555,numeric_exact,3,14,compas,7,RF,full_pool,all,50
min_samples_leaf,0.0876145362193204,3,50,0.0067014797995564555,numeric_exact,3,13,compas,7,RF,full_pool,all,50
n_estimators,0.019336247870515782,3,50,0.0067014797995564555,numeric_exact,3,16,compas,7,RF,full_pool,all,50
