family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,dataset,seed,pool_type,subset
kNN,weights,hp_weights,25,25,2,0.17144903885931514,0.0665411992387475,0.5251743163750958,0.2337315271232783,compas,1,Rashomon,non_HH
kNN,p,hp_p,25,25,2,0.02642299057293429,0.012860453030382076,0.06100154616957103,0.02693550082086565,compas,1,Rashomon,non_HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.302712028914357,0.28434448520636507,0.5074111389378817,0.32863477380842243,compas,2,Rashomon,all
GBM,max_depth,hp_max_depth,25,25,4,0.27206149684058,0.2233837809503598,0.5637163939090258,0.26519277985860035,compas,2,Rashomon,all
GBM,subsample,hp_subsample,25,25,3,0.1497231453239582,0.14006325333709993,0.2894720384980116,0.1669121419773038,compas,2,Rashomon,all
GBM,n_estimators,hp_n_estimators,25,25,3,0.11241506149076498,0.08456219848058118,0.24408722456708698,0.0875879819687358,compas,2,Rashomon,all
LogReg,C,hp_C,25,25,13,0.9998376821050847,0.9998528084701812,0.9999924273733793,0.9996419776918363,compas,2,Rashomon,all
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.11511487896119253,0.09829891881675161,0.18166675894894976,0.10107975377156506,compas,2,Rashomon,all
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.1522799142463484,0.12687712630015072,0.3240391200621487,0.1864636886714786,compas,2,Rashomon,all
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.16107746393327943,0.15351097050806584,0.26964994067194564,0.1424822952316258,compas,2,Rashomon,all
MLP,alpha,hp_alpha,25,25,4,0.09852083813065385,0.08255236708338759,0.19400827856083475,0.09476228163530982,compas,2,Rashomon,all
MLP,activation,hp_activation,25,25,2,0.048212196762837264,0.025501748760407585,0.13270812853860492,0.058345981042908036,compas,2,Rashomon,all
RF,max_depth,hp_max_depth,25,25,3,0.4711814772408124,0.4553652085001615,0.8686862193708539,0.5306891600631131,compas,2,Rashomon,all
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.22854975463315785,0.2421732180082214,0.41012109220160214,0.2626286642495146,compas,2,Rashomon,all
RF,min_samples_split,hp_min_samples_split,25,25,3,0.12009614314564143,0.10184758062877561,0.250301589127566,0.12527463546918158,compas,2,Rashomon,all
RF,n_estimators,hp_n_estimators,25,25,3,0.05226829956429857,0.048987463310967955,0.0916798739621713,0.049994727808859746,compas,2,Rashomon,all
RF,max_features,hp_max_features,25,14,2,0.026828601404583964,0.015157899961149569,0.05794959075288549,0.017207290623128393,compas,2,Rashomon,all
kNN,n_neighbors,hp_n_neighbors,25,25,13,0.9143035024270273,0.9674276720422245,0.9963932435116182,0.9424784558289293,compas,2,Rashomon,all
kNN,p,hp_p,25,25,2,0.01444313224000164,0.0025713108441985143,0.03230692240620902,0.011810982191970559,compas,2,Rashomon,all
GBM,learning_rate,hp_learning_rate,25,25,4,0.3033061545067296,0.2813667577721611,0.5232688403621648,0.4050636192719656,compas,2,Rashomon,HH
GBM,max_depth,hp_max_depth,25,25,4,0.3164171949835486,0.2410641334788183,0.6095913108156543,0.2525986421696782,compas,2,Rashomon,HH
GBM,subsample,hp_subsample,25,25,3,0.1570728194935584,0.1551025456448787,0.27976370521160404,0.1774659610784778,compas,2,Rashomon,HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.07434917483636062,0.06070844866180825,0.1502342885321561,0.06151340518799276,compas,2,Rashomon,HH
LogReg,C,hp_C,25,25,13,0.9999001297016679,0.9999510944998425,0.9999984883346889,0.9998389055402844,compas,2,Rashomon,HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.11612893178666894,0.10233173584838441,0.17206856846272955,0.09948295362035424,compas,2,Rashomon,HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.18050662262654787,0.16163000288983403,0.3254319754088531,0.21600986943428724,compas,2,Rashomon,HH
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.14357572753811548,0.14166517821574354,0.2740208045352066,0.13248979562710453,compas,2,Rashomon,HH
MLP,alpha,hp_alpha,25,25,4,0.1126120159940851,0.09303826648323545,0.2787285191876874,0.0889873936772988,compas,2,Rashomon,HH
MLP,activation,hp_activation,25,25,2,0.054329359263408296,0.03705972462145064,0.1196417171461301,0.06371723612590337,compas,2,Rashomon,HH
RF,max_depth,hp_max_depth,25,25,3,0.47440848340412534,0.50528072232363,0.8446542841704279,0.5055066059069913,compas,2,Rashomon,HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.2536414146300034,0.2784486678722361,0.4208416784765222,0.269112126989176,compas,2,Rashomon,HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.13356740610872178,0.11692055734915022,0.26899683946197084,0.13791026416200622,compas,2,Rashomon,HH
RF,n_estimators,hp_n_estimators,25,25,3,0.04357242652820221,0.04173531244055672,0.06714437148004349,0.044238342753645105,compas,2,Rashomon,HH
RF,max_features,hp_max_features,25,14,2,0.015249680605870031,0.00827776784381451,0.03290555523494532,0.009880191053519916,compas,2,Rashomon,HH
kNN,n_neighbors,hp_n_neighbors,25,25,13,0.865737786681674,0.9600202942428296,0.9951012693118259,0.908109944425674,compas,2,Rashomon,HH
kNN,p,hp_p,25,25,2,0.05082433392762683,0.003087327036982625,0.1387655140338937,0.038467503183078754,compas,2,Rashomon,HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.30267110026243804,0.2846361794664717,0.5064186759569234,0.3119850429117046,compas,2,Rashomon,non_HH
GBM,max_depth,hp_max_depth,25,25,4,0.26900588207961995,0.22288271385146294,0.5637163939090258,0.2679363644584331,compas,2,Rashomon,non_HH
GBM,subsample,hp_subsample,25,25,3,0.14921683443671907,0.13997147327874376,0.28969270949732245,0.16461303295764707,compas,2,Rashomon,non_HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.11503737812695725,0.08716011165153231,0.24656705583563243,0.09326822853025514,compas,2,Rashomon,non_HH
LogReg,C,hp_C,25,25,13,0.9998333801595423,0.9998484936896839,0.9999914557765943,0.9996270035384754,compas,2,Rashomon,non_HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.11504502198877083,0.09791368425304509,0.18191256065111358,0.10120117250710094,compas,2,Rashomon,non_HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.1503354076690458,0.12334351382111879,0.3236729577490829,0.18355913962504458,compas,2,Rashomon,non_HH
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.16228313910716852,0.15580598849366695,0.26964994067194564,0.14346461187792275,compas,2,Rashomon,non_HH
MLP,alpha,hp_alpha,25,25,4,0.09755011254450638,0.08155024331955282,0.19070994115269588,0.0953299842919191,compas,2,Rashomon,non_HH
MLP,activation,hp_activation,25,25,2,0.047790792235020155,0.024814218576692047,0.13275894555736653,0.057817957676547745,compas,2,Rashomon,non_HH
RF,max_depth,hp_max_depth,25,25,3,0.47095917237178425,0.45330800310224684,0.8703702786072779,0.5350436045303295,compas,2,Rashomon,non_HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.22682121805559738,0.2371363455086295,0.4079413174270579,0.26150757548782283,compas,2,Rashomon,non_HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.11916812280818478,0.09961864893110906,0.25011513029762,0.12308974417061987,compas,2,Rashomon,non_HH
RF,n_estimators,hp_n_estimators,25,25,3,0.0528673485956741,0.04928720680979141,0.09274609638461694,0.050990093842799275,compas,2,Rashomon,non_HH
RF,max_features,hp_max_features,25,14,2,0.027626260392939805,0.015812614751836165,0.05871774333683599,0.01850131999830115,compas,2,Rashomon,non_HH
kNN,n_neighbors,hp_n_neighbors,25,25,13,0.9176491406228181,0.9679165920440733,0.9964476042349968,0.9466655456758849,compas,2,Rashomon,non_HH
kNN,p,hp_p,25,25,2,0.011936871679298567,0.0024900880544,0.029472690720630322,0.008563438325800728,compas,2,Rashomon,non_HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.2791740924746642,0.2796924112520057,0.48270209736376873,0.2996590640992391,compas,3,Rashomon,all
