dataset,family,pool_type,target_vm,feature_group,mean_importance,std_importance,top1_frequency,top3_frequency,mean_rank,n_reps_used,group_key
adult,RF,full_pool,V_m_HH,hp_max_features,0.1592081562681014,0.01990435908445262,0.0,1.0,2.0,12,adult|RF|full_pool|V_m_HH
adult,RF,full_pool,V_m_HH,hp_max_depth,0.03198195570032649,0.016093973656328562,0.0,0.75,3.25,12,adult|RF|full_pool|V_m_HH
adult,RF,full_pool,V_m_HH,hp_min_samples_leaf,0.02047314939194908,0.0048815317835489555,0.0,0.25,3.75,12,adult|RF|full_pool|V_m_HH
adult,RF,full_pool,V_m_HH,hp_min_samples_split,0.006402517083301455,0.0027976932822076114,0.0,0.0,5.0,12,adult|RF|full_pool|V_m_HH
adult,RF,full_pool,V_m_nonHH,validation_brier,0.5485953048871264,0.04305123171577747,1.0,1.0,1.0,12,adult|RF|full_pool|V_m_nonHH
adult,RF,full_pool,V_m_nonHH,hp_max_features,0.24146148308206228,0.014221670746761029,0.0,1.0,2.0,12,adult|RF|full_pool|V_m_nonHH
adult,RF,full_pool,V_m_nonHH,hp_max_depth,0.09998999210992553,0.040063889230760846,0.0,0.6666666666666666,3.5,12,adult|RF|full_pool|V_m_nonHH
adult,RF,full_pool,V_m_nonHH,hp_min_samples_leaf,0.07653691644022849,0.012586957169880628,0.0,0.3333333333333333,3.6666666666666665,12,adult|RF|full_pool|V_m_nonHH
adult,RF,full_pool,V_m_nonHH,hp_min_samples_split,0.026916979965061986,0.014783464883089152,0.0,0.0,4.833333333333333,12,adult|RF|full_pool|V_m_nonHH
adult,kNN,Rashomon,V_m,hp_n_neighbors,0.8715412729012267,0.009815493685977622,1.0,1.0,1.0,12,adult|kNN|Rashomon|V_m
adult,kNN,Rashomon,V_m,hp_weights,0.06280873241975836,0.004542444771517258,0.0,1.0,2.0833333333333335,12,adult|kNN|Rashomon|V_m
adult,kNN,Rashomon,V_m,validation_brier,0.03794927121977238,0.014518291435707214,0.0,0.6666666666666666,3.25,12,adult|kNN|Rashomon|V_m
adult,kNN,Rashomon,V_m,hp_p,0.027700723459242422,0.0122368521958793,0.0,0.3333333333333333,3.6666666666666665,12,adult|kNN|Rashomon|V_m
adult,kNN,Rashomon,V_m_HH,hp_n_neighbors,0.5529861203694405,0.043354885986926474,1.0,1.0,1.0,12,adult|kNN|Rashomon|V_m_HH
adult,kNN,Rashomon,V_m_HH,hp_p,0.24469259447805602,0.0647103921344987,0.0,1.0,2.0833333333333335,12,adult|kNN|Rashomon|V_m_HH
adult,kNN,Rashomon,V_m_HH,validation_brier,0.1697950170651338,0.04593772204547393,0.0,1.0,2.9166666666666665,12,adult|kNN|Rashomon|V_m_HH
