hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
learning_rate,0.394399894389219,4,25,0.007973430094285661,numeric_exact,4,3,german,8,GBM,Rashomon,all,25
max_depth,0.10967311876012864,4,25,0.007973430094285661,numeric_exact,4,3,german,8,GBM,Rashomon,all,25
n_estimators,0.02756585597254386,3,25,0.007973430094285661,numeric_exact,3,5,german,8,GBM,Rashomon,all,25
subsample,0.012712547276478171,3,25,0.007973430094285661,numeric_exact,3,7,german,8,GBM,Rashomon,all,25
C,0.3969499222155715,3,25,0.00027401367847138084,numeric_tertile,3,4,german,8,LogReg,Rashomon,all,25
l1_ratio,0.12106334125913694,3,25,0.00027401367847138084,numeric_tertile,3,8,german,8,LogReg,Rashomon,all,25
hidden_layer_sizes,0.2665033090683874,5,25,0.008472727635490417,categorical_exact,5,3,german,8,MLP,Rashomon,all,25
learning_rate_init,0.18373094917265984,2,25,0.008472727635490417,numeric_exact,2,11,german,8,MLP,Rashomon,all,25
alpha,0.16846000943019737,4,25,0.008472727635490417,numeric_exact,4,5,german,8,MLP,Rashomon,all,25
activation,0.023916324408205816,2,25,0.008472727635490417,categorical_exact,2,12,german,8,MLP,Rashomon,all,25
n_estimators,0.5037888683896669,3,25,0.002622838288178978,numeric_exact,3,6,german,8,RF,Rashomon,all,25
max_features,0.40210148523163913,3,25,0.002622838288178978,categorical_exact,3,7,german,8,RF,Rashomon,all,25
min_samples_split,0.05107889088021416,3,25,0.002622838288178978,numeric_exact,3,3,german,8,RF,Rashomon,all,25
max_depth,0.03543386869894147,3,16,0.0027738860369396455,numeric_exact,3,2,german,8,RF,Rashomon,all,25
min_samples_leaf,0.0032883706298717126,3,25,0.002622838288178978,numeric_exact,3,7,german,8,RF,Rashomon,all,25
n_neighbors,0.7560132044617032,3,25,0.0049153133579119025,numeric_tertile,3,5,german,8,kNN,Rashomon,all,25
weights,0.01505947493879648,2,25,0.0049153133579119025,categorical_exact,2,12,german,8,kNN,Rashomon,all,25
p,0.0007480670123032935,2,25,0.0049153133579119025,numeric_exact,2,8,german,8,kNN,Rashomon,all,25
n_estimators,0.13263768931666012,3,25,0.006130336782550172,numeric_exact,3,5,german,9,GBM,Rashomon,all,25
learning_rate,0.10247435195191022,3,24,0.006047600569873207,numeric_exact,3,6,german,9,GBM,Rashomon,all,25
max_depth,0.07911953871440523,4,25,0.006130336782550172,numeric_exact,4,5,german,9,GBM,Rashomon,all,25
subsample,0.049681484023950506,3,25,0.006130336782550172,numeric_exact,3,6,german,9,GBM,Rashomon,all,25
C,0.2866044320525283,3,25,0.004419534855281683,numeric_tertile,3,5,german,9,LogReg,Rashomon,all,25
l1_ratio,0.016372751859562516,3,25,0.004419534855281683,numeric_tertile,3,5,german,9,LogReg,Rashomon,all,25
learning_rate_init,0.2695750096313462,2,24,0.0090986434957696,numeric_exact,2,10,german,9,MLP,Rashomon,all,25
hidden_layer_sizes,0.08499442967676524,5,25,0.009116548137344376,categorical_exact,5,4,german,9,MLP,Rashomon,all,25
alpha,0.055602832501625746,3,24,0.009123901184875419,numeric_exact,3,4,german,9,MLP,Rashomon,all,25
activation,0.05380339620638683,2,25,0.009116548137344376,categorical_exact,2,10,german,9,MLP,Rashomon,all,25
n_estimators,0.577136414289968,3,25,0.0008658320763324407,numeric_exact,3,8,german,9,RF,Rashomon,all,25
min_samples_leaf,0.2989417703265983,3,25,0.0008658320763324407,numeric_exact,3,4,german,9,RF,Rashomon,all,25
min_samples_split,0.2335407967189311,3,25,0.0008658320763324407,numeric_exact,3,5,german,9,RF,Rashomon,all,25
max_features,0.14054263357856456,2,25,0.0008658320763324407,categorical_exact,2,9,german,9,RF,Rashomon,all,25
max_depth,0.04402036785857373,3,17,0.0008037689955624161,numeric_exact,3,3,german,9,RF,Rashomon,all,25
n_neighbors,0.3276771719479482,3,25,0.008522109844592264,numeric_tertile,3,3,german,9,kNN,Rashomon,all,25
p,0.050063876520046395,2,25,0.008522109844592264,numeric_exact,2,8,german,9,kNN,Rashomon,all,25
weights,0.010333285314442806,2,25,0.008522109844592264,categorical_exact,2,11,german,9,kNN,Rashomon,all,25
learning_rate,0.19518600508062398,4,50,0.016091425802673278,numeric_exact,4,10,german,0,GBM,full_pool,all,50
n_estimators,0.09398819580481511,3,50,0.016091425802673278,numeric_exact,3,12,german,0,GBM,full_pool,all,50
max_depth,0.0197384280059766,4,50,0.016091425802673278,numeric_exact,4,10,german,0,GBM,full_pool,all,50
subsample,0.0021942358877811746,3,50,0.016091425802673278,numeric_exact,3,13,german,0,GBM,full_pool,all,50
C,0.7761872977636067,3,50,0.016263750598061993,numeric_tertile,3,15,german,0,LogReg,full_pool,all,50
l1_ratio,0.043717124015104185,3,50,0.016263750598061993,numeric_tertile,3,9,german,0,LogReg,full_pool,all,50
learning_rate_init,0.24598249556762164,3,50,0.017826001789944784,numeric_exact,3,16,german,0,MLP,full_pool,all,50
hidden_layer_sizes,0.02338869546100176,5,50,0.017826001789944784,categorical_exact,5,8,german,0,MLP,full_pool,all,50
