family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums,dataset,seed,pool_type,subset
GBM,n_estimators,hp_n_estimators,25,25,3,0.10100946279115518,0.09418066350126464,0.18616137213951772,0.10014150960187768,adult,1,Rashomon,non_HH
LogReg,C,hp_C,25,25,10,0.786794400347978,0.8941932361079326,0.9960866934924018,0.9219746977160322,adult,1,Rashomon,non_HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.1453768758666393,0.1291569322953869,0.2118871095632811,0.11903909746963903,adult,1,Rashomon,non_HH
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.13679488933801545,0.11821914283760014,0.24933914503043553,0.1587886115027399,adult,1,Rashomon,non_HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.11335178160975747,0.07706072757623064,0.26968915146548256,0.15710711501603367,adult,1,Rashomon,non_HH
MLP,alpha,hp_alpha,25,25,4,0.1415017076762138,0.11825139327963125,0.271685910137362,0.13794194844554042,adult,1,Rashomon,non_HH
MLP,activation,hp_activation,25,25,2,0.07557652252054349,0.03994717923084397,0.19790526264947209,0.07969080961352466,adult,1,Rashomon,non_HH
RF,max_features,hp_max_features,25,13,2,0.287242313308196,0.26473145997646297,0.6000093341020312,0.27283509111204074,adult,1,Rashomon,non_HH
RF,max_depth,hp_max_depth,25,19,3,0.17793820638712438,0.11314018144317102,0.4475212419309356,0.1564228958833647,adult,1,Rashomon,non_HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.09565473190608205,0.07198204246603382,0.20293357003874804,0.10071049267016491,adult,1,Rashomon,non_HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.09171907701416095,0.07246283225893695,0.19124463011839993,0.08157651844796897,adult,1,Rashomon,non_HH
RF,n_estimators,hp_n_estimators,25,25,3,0.05915618418000026,0.04317098446608342,0.13244744347694842,0.0675817602589115,adult,1,Rashomon,non_HH
kNN,n_neighbors,hp_n_neighbors,25,25,9,0.6088664974047285,0.7042432328773784,0.9508833880343517,0.6126820547377324,adult,1,Rashomon,non_HH
kNN,weights,hp_weights,25,25,2,0.052755342953248505,0.009776251012609979,0.13409410780986286,0.1784875644622576,adult,1,Rashomon,non_HH
kNN,p,hp_p,25,25,2,0.10887447728719285,0.04016532415734763,0.3220067591609614,0.1385883213020337,adult,1,Rashomon,non_HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.33343859254278446,0.3028811561349632,0.6497035249939883,0.20447927131428867,adult,2,Rashomon,all
GBM,max_depth,hp_max_depth,25,25,4,0.12943008556855237,0.08912999537047404,0.29172028914139303,0.15937952582317969,adult,2,Rashomon,all
GBM,subsample,hp_subsample,25,25,3,0.07307630320130945,0.04395055033460062,0.17601188006500254,0.10323432166915414,adult,2,Rashomon,all
GBM,n_estimators,hp_n_estimators,25,25,3,0.0669196531595695,0.044808268025483065,0.15759406646731094,0.08823087864776348,adult,2,Rashomon,all
LogReg,C,hp_C,25,25,13,0.9273889858442961,0.9839495757657409,0.999541002733977,0.9900112158990874,adult,2,Rashomon,all
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.1181602902608333,0.11384397292956448,0.1709113546784208,0.07587253502653041,adult,2,Rashomon,all
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.2043634403494749,0.1459556573235973,0.49225590309881095,0.23680109619781597,adult,2,Rashomon,all
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.15600180857338125,0.13646157158806232,0.2887998428761667,0.1910259320437427,adult,2,Rashomon,all
MLP,activation,hp_activation,25,25,2,0.10963069096107829,0.0657901872445778,0.2823501257491444,0.1457464464238269,adult,2,Rashomon,all
MLP,alpha,hp_alpha,25,25,4,0.13853278146907694,0.12206321116508327,0.26604897262215055,0.12991352886092217,adult,2,Rashomon,all
RF,max_depth,hp_max_depth,25,16,3,0.30752612210805763,0.2586918801881193,0.6732563580742347,0.334148795657104,adult,2,Rashomon,all
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.16987057609906406,0.14021098143958968,0.34146530781553863,0.1534181536754492,adult,2,Rashomon,all
RF,max_features,hp_max_features,25,10,2,0.2027045331562054,0.13587395769325256,0.5060980916303268,0.12768384024091683,adult,2,Rashomon,all
RF,n_estimators,hp_n_estimators,25,25,3,0.09638056048238204,0.08258869449727012,0.1893628199971807,0.10566033209080501,adult,2,Rashomon,all
RF,min_samples_split,hp_min_samples_split,25,25,3,0.04609351099084747,0.030074766874345113,0.10819173481044754,0.032650466314554656,adult,2,Rashomon,all
kNN,n_neighbors,hp_n_neighbors,25,25,9,0.6051740180725128,0.6958924612567982,0.9452643014510446,0.5586131376615752,adult,2,Rashomon,all
kNN,p,hp_p,25,25,2,0.1309439409408283,0.04781910324536643,0.4013022471345675,0.2892721766184437,adult,2,Rashomon,all
kNN,weights,hp_weights,25,25,2,0.051036804621619324,0.0049724782945980645,0.140460708341763,0.13501576285676978,adult,2,Rashomon,all
GBM,learning_rate,hp_learning_rate,25,25,4,0.2978644743559814,0.2604009344660201,0.5906186363653139,0.2183286199583272,adult,2,Rashomon,HH
GBM,max_depth,hp_max_depth,25,25,4,0.1664643074521896,0.10771680963979051,0.40249715525408136,0.1966705608011471,adult,2,Rashomon,HH
GBM,subsample,hp_subsample,25,25,3,0.10115737956311092,0.07778189326676524,0.22138205713636247,0.1258934160775273,adult,2,Rashomon,HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.05110196641354131,0.028813527211159165,0.12761426221564362,0.06389275929511545,adult,2,Rashomon,HH
LogReg,C,hp_C,25,25,13,0.9518493265577279,0.987565884939893,0.9993859382473959,0.9922111671250151,adult,2,Rashomon,HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.11996917628543842,0.11895051917245505,0.16350292828026483,0.07819614902335317,adult,2,Rashomon,HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.24185606819574917,0.18500629033610155,0.5695030900400329,0.2722212517365661,adult,2,Rashomon,HH
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.18049705251527762,0.16768247914139217,0.31412602888280866,0.197282368074473,adult,2,Rashomon,HH
MLP,activation,hp_activation,25,25,2,0.1653157505704932,0.12109346483599275,0.39378546588720137,0.1759899949880585,adult,2,Rashomon,HH
MLP,alpha,hp_alpha,25,25,4,0.12023459636284056,0.10390129156769533,0.24033765807988672,0.13110383182722468,adult,2,Rashomon,HH
RF,max_depth,hp_max_depth,25,16,3,0.29981710589870836,0.28989044856937984,0.5161775863817855,0.31423507603450535,adult,2,Rashomon,HH
RF,max_features,hp_max_features,25,10,2,0.25562958656783596,0.17179725208425445,0.6396543381394759,0.25283085356825985,adult,2,Rashomon,HH
RF,n_estimators,hp_n_estimators,25,25,3,0.13066547635245515,0.15015438137483356,0.20503813770813498,0.15233022092063978,adult,2,Rashomon,HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.12017855183862582,0.05651044164592228,0.3248495029496074,0.07705668563127387,adult,2,Rashomon,HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.03266475882412314,0.016164515513472255,0.09267369888735703,0.018742885764103746,adult,2,Rashomon,HH
kNN,p,hp_p,25,25,2,0.3019999154194274,0.1522901099589392,0.8517840185103207,0.598888477423315,adult,2,Rashomon,HH
kNN,n_neighbors,hp_n_neighbors,25,25,9,0.6050324419122712,0.6459692047510033,0.9129578470985278,0.4410922397774716,adult,2,Rashomon,HH
kNN,weights,hp_weights,25,25,2,0.04150751359570972,0.006741370367029634,0.10171309721835965,0.027495102251506913,adult,2,Rashomon,HH
GBM,learning_rate,hp_learning_rate,25,25,4,0.33668958446288333,0.308498371272876,0.6537875570500523,0.19978448947929428,adult,2,Rashomon,non_HH
GBM,max_depth,hp_max_depth,25,25,4,0.12604565997355566,0.08838004947326583,0.2790003297636934,0.14673826173758958,adult,2,Rashomon,non_HH
GBM,n_estimators,hp_n_estimators,25,25,3,0.06836517519713525,0.04648189623985853,0.15991121258691746,0.09648124215377002,adult,2,Rashomon,non_HH
GBM,subsample,hp_subsample,25,25,3,0.07051007367790944,0.042120867114003355,0.17254406064605876,0.09555312975464168,adult,2,Rashomon,non_HH
LogReg,C,hp_C,25,25,13,0.9251536424520954,0.9835880974397165,0.9995570480083117,0.9892337062701314,adult,2,Rashomon,non_HH
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.11799498261161791,0.11353959885155006,0.17212524895900946,0.0750513203399436,adult,2,Rashomon,non_HH
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.2009371226667297,0.14289486495226503,0.4859504369384184,0.2235822164732702,adult,2,Rashomon,non_HH
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.15376327549948213,0.1340808423378245,0.2858305716040376,0.18869101639651867,adult,2,Rashomon,non_HH
MLP,activation,hp_activation,25,25,2,0.10454183175422976,0.0630837152877275,0.2680954082800381,0.13445948777462885,adult,2,Rashomon,non_HH
MLP,alpha,hp_alpha,25,25,4,0.14020498741443518,0.12364184189989523,0.2675559417230056,0.12946930518352726,adult,2,Rashomon,non_HH
RF,max_depth,hp_max_depth,25,16,3,0.3082306216342835,0.2498206648214397,0.6829008573234635,0.34470418040614126,adult,2,Rashomon,non_HH
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.17441175315693896,0.14909363113528604,0.3435311286445422,0.18638011634434984,adult,2,Rashomon,non_HH
RF,max_features,hp_max_features,25,10,2,0.19786790108261432,0.13337308605467132,0.4922751428523929,0.09698853359654039,adult,2,Rashomon,non_HH
RF,n_estimators,hp_n_estimators,25,25,3,0.09324738416892882,0.07934060076763505,0.1851660309191977,0.08551494760866243,adult,2,Rashomon,non_HH
RF,min_samples_split,hp_min_samples_split,25,25,3,0.04732071680834054,0.03184922686934331,0.10903278544243439,0.03865377089551809,adult,2,Rashomon,non_HH
