dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
adult,2,Rashomon,all,RF,n_estimators,,decomp_ratio_of_sums,0.10566033209080501
adult,2,Rashomon,all,RF,min_samples_split,,decomp_ratio_of_sums,0.032650466314554656
adult,2,Rashomon,all,kNN,n_neighbors,,decomp_ratio_of_sums,0.5586131376615752
adult,2,Rashomon,all,kNN,p,,decomp_ratio_of_sums,0.2892721766184437
adult,2,Rashomon,all,kNN,weights,,decomp_ratio_of_sums,0.13501576285676978
adult,2,Rashomon,HH,GBM,learning_rate,,decomp_ratio_of_sums,0.2183286199583272
adult,2,Rashomon,HH,GBM,max_depth,,decomp_ratio_of_sums,0.1966705608011471
adult,2,Rashomon,HH,GBM,subsample,,decomp_ratio_of_sums,0.1258934160775273
adult,2,Rashomon,HH,GBM,n_estimators,,decomp_ratio_of_sums,0.06389275929511545
adult,2,Rashomon,HH,LogReg,C,,decomp_ratio_of_sums,0.9922111671250151
adult,2,Rashomon,HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.07819614902335317
adult,2,Rashomon,HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.2722212517365661
adult,2,Rashomon,HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.197282368074473
adult,2,Rashomon,HH,MLP,activation,,decomp_ratio_of_sums,0.1759899949880585
adult,2,Rashomon,HH,MLP,alpha,,decomp_ratio_of_sums,0.13110383182722468
adult,2,Rashomon,HH,RF,max_depth,,decomp_ratio_of_sums,0.31423507603450535
adult,2,Rashomon,HH,RF,max_features,,decomp_ratio_of_sums,0.25283085356825985
adult,2,Rashomon,HH,RF,n_estimators,,decomp_ratio_of_sums,0.15233022092063978
adult,2,Rashomon,HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.07705668563127387
adult,2,Rashomon,HH,RF,min_samples_split,,decomp_ratio_of_sums,0.018742885764103746
adult,2,Rashomon,HH,kNN,p,,decomp_ratio_of_sums,0.598888477423315
adult,2,Rashomon,HH,kNN,n_neighbors,,decomp_ratio_of_sums,0.4410922397774716
adult,2,Rashomon,HH,kNN,weights,,decomp_ratio_of_sums,0.027495102251506913
adult,2,Rashomon,non_HH,GBM,learning_rate,,decomp_ratio_of_sums,0.19978448947929428
adult,2,Rashomon,non_HH,GBM,max_depth,,decomp_ratio_of_sums,0.14673826173758958
adult,2,Rashomon,non_HH,GBM,n_estimators,,decomp_ratio_of_sums,0.09648124215377002
adult,2,Rashomon,non_HH,GBM,subsample,,decomp_ratio_of_sums,0.09555312975464168
adult,2,Rashomon,non_HH,LogReg,C,,decomp_ratio_of_sums,0.9892337062701314
adult,2,Rashomon,non_HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.0750513203399436
adult,2,Rashomon,non_HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.2235822164732702
adult,2,Rashomon,non_HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.18869101639651867
adult,2,Rashomon,non_HH,MLP,activation,,decomp_ratio_of_sums,0.13445948777462885
adult,2,Rashomon,non_HH,MLP,alpha,,decomp_ratio_of_sums,0.12946930518352726
adult,2,Rashomon,non_HH,RF,max_depth,,decomp_ratio_of_sums,0.34470418040614126
adult,2,Rashomon,non_HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.18638011634434984
adult,2,Rashomon,non_HH,RF,max_features,,decomp_ratio_of_sums,0.09698853359654039
adult,2,Rashomon,non_HH,RF,n_estimators,,decomp_ratio_of_sums,0.08551494760866243
adult,2,Rashomon,non_HH,RF,min_samples_split,,decomp_ratio_of_sums,0.03865377089551809
adult,2,Rashomon,non_HH,kNN,n_neighbors,,decomp_ratio_of_sums,0.6135003003078803
adult,2,Rashomon,non_HH,kNN,weights,,decomp_ratio_of_sums,0.185232397453105
