dataset,family,subset,pool_type,hp,n_seeds,mean_importance,std_importance,mean_rank,importance_type
adult,MLP,non_HH,full_pool,activation,10,0.05862336016006546,0.009195770246382752,3.2,decomposition
adult,MLP,non_HH,full_pool,alpha,10,0.058582895882860794,0.023267913853313105,3.4,decomposition
adult,MLP,non_HH,full_pool,hidden_layer_sizes,10,0.08331792854416227,0.01786375651385654,2.4,decomposition
adult,MLP,non_HH,full_pool,learning_rate_init,10,0.21871492378676974,0.032971941345529165,1.0,decomposition
adult,RF,HH,Rashomon,max_depth,10,0.08847639747181177,0.09759988167337513,3.6,V_m
adult,RF,HH,Rashomon,min_samples_leaf,10,0.11363068950710944,0.08762247532231086,3.4,V_m
adult,RF,HH,Rashomon,min_samples_split,10,0.08887840735597016,0.06839785008586391,3.0,V_m
adult,RF,HH,Rashomon,n_estimators,10,0.06787130929425976,0.07687014647030865,3.6,V_m
adult,RF,HH,Rashomon,max_depth,10,0.25787383729041446,0.120963205209126,1.9,decomposition
adult,RF,HH,Rashomon,min_samples_leaf,10,0.07540163033910542,0.029472574601391275,3.8,decomposition
adult,RF,HH,Rashomon,min_samples_split,10,0.07491675789423015,0.0631941926771101,3.8,decomposition
adult,RF,HH,Rashomon,n_estimators,10,0.09884187650189379,0.07967874284225909,3.6,decomposition
adult,RF,HH,full_pool,max_depth,10,0.47664657412713557,0.11813369232032257,1.0,V_m
adult,RF,HH,full_pool,max_features,10,0.0816383894690687,0.07308558299269731,2.9,V_m
adult,RF,HH,full_pool,min_samples_leaf,10,0.04922557027891046,0.03997541122187483,3.5,V_m
adult,RF,HH,full_pool,min_samples_split,10,0.04558281414370281,0.03361767289524741,3.4,V_m
adult,RF,HH,full_pool,n_estimators,10,0.0197259874832465,0.014059959800634233,4.2,V_m
adult,RF,HH,full_pool,max_depth,10,0.3803911854117152,0.08602190545234276,1.0,decomposition
adult,RF,HH,full_pool,max_features,10,0.10558606947440899,0.06552956004537853,2.5,decomposition
adult,RF,HH,full_pool,min_samples_leaf,10,0.05564074743796742,0.028864940787641603,3.4,decomposition
adult,RF,HH,full_pool,min_samples_split,10,0.04918557468206906,0.02623838406268669,3.4,decomposition
adult,RF,HH,full_pool,n_estimators,10,0.0316137756303897,0.019133312691818553,4.7,decomposition
adult,RF,all,Rashomon,max_depth,10,0.11287611544241416,0.09319582322682601,3.3,V_m
adult,RF,all,Rashomon,min_samples_leaf,10,0.10651105341578351,0.05251623292914402,3.2,V_m
adult,RF,all,Rashomon,min_samples_split,10,0.08588901820542535,0.0712801286458281,4.0,V_m
adult,RF,all,Rashomon,n_estimators,10,0.09449319588757436,0.07588465610824206,3.1,V_m
adult,RF,all,Rashomon,max_depth,10,0.2835259894493939,0.08862223500600379,1.4,decomposition
adult,RF,all,Rashomon,min_samples_leaf,10,0.10417559335698434,0.038273022356702616,3.3,decomposition
adult,RF,all,Rashomon,min_samples_split,10,0.07705488464639673,0.057418919069422744,4.1,decomposition
adult,RF,all,Rashomon,n_estimators,10,0.0830778998886869,0.05251438457683275,3.9,decomposition
adult,RF,all,full_pool,max_depth,10,0.478888872215853,0.10401751166192039,1.0,V_m
adult,RF,all,full_pool,max_features,10,0.07794281539809764,0.0680110396192946,3.0,V_m
adult,RF,all,full_pool,min_samples_leaf,10,0.06884437496640947,0.0565054819102998,2.9,V_m
adult,RF,all,full_pool,min_samples_split,10,0.04718339151415725,0.044539079140332255,3.6,V_m
adult,RF,all,full_pool,n_estimators,10,0.02323240198546986,0.013977720998668706,4.5,V_m
adult,RF,all,full_pool,max_depth,10,0.39746312965356434,0.07161751063203027,1.0,decomposition
adult,RF,all,full_pool,max_features,10,0.09232650024255507,0.058097832248975884,2.5,decomposition
adult,RF,all,full_pool,min_samples_leaf,10,0.060825992601839296,0.025647147379361232,3.4,decomposition
adult,RF,all,full_pool,min_samples_split,10,0.04932386592399687,0.024294348293214144,3.5,decomposition
adult,RF,all,full_pool,n_estimators,10,0.03254324968630852,0.017406650664138348,4.6,decomposition
