dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,n_seeds,mean_V_m,mean_rank,rank_freq_top1,rank_freq_top3,grouping_type,n_groups,min_group_size
adult,full_pool,all,kNN,weights,0.006040221154315299,0.0025657263647083433,10,0.005675655384339841,2.0,0.0,1.0,categorical_exact,2.0,24.3
adult,full_pool,all,kNN,p,0.0007654003546450092,0.0005565865568697522,10,0.005675655384339841,3.0,0.0,1.0,numeric_exact,2.0,24.6
adult,full_pool,non_HH,GBM,learning_rate,0.2932069950697874,0.06715624831088347,10,0.002471269320804491,1.0,1.0,1.0,numeric_exact,4.0,9.9
adult,full_pool,non_HH,GBM,n_estimators,0.05310779651764928,0.04453782294806033,10,0.002471269320804491,2.6,0.0,0.8,numeric_exact,3.0,14.2
adult,full_pool,non_HH,GBM,max_depth,0.038192316668097345,0.029104072341824203,10,0.002471269320804491,2.7,0.0,0.9,numeric_exact,4.0,9.7
adult,full_pool,non_HH,GBM,subsample,0.013630466511107567,0.008622964984809725,10,0.002471269320804491,3.7,0.0,0.3,numeric_exact,3.0,13.9
adult,full_pool,non_HH,LogReg,C,0.3233899952022284,0.059316129514369556,10,0.00472810265728676,1.0,1.0,1.0,numeric_tertile,3.0,13.3
adult,full_pool,non_HH,LogReg,l1_ratio,0.030384232074681754,0.020616732348206677,10,0.00472810265728676,2.0,0.0,1.0,numeric_tertile,3.0,10.5
adult,full_pool,non_HH,MLP,learning_rate_init,0.33040042548206944,0.06395155799694463,10,0.0014677583667872716,1.0,1.0,1.0,numeric_exact,3.0,14.4
adult,full_pool,non_HH,MLP,hidden_layer_sizes,0.08697951228169833,0.03567877683227229,10,0.0014677583667872716,2.3,0.0,1.0,categorical_exact,5.0,7.9
adult,full_pool,non_HH,MLP,alpha,0.05437408829755641,0.04222061468898414,10,0.0014677583667872716,2.8,0.0,0.9,numeric_exact,4.0,10.1
adult,full_pool,non_HH,MLP,activation,0.02150833942900926,0.024631963213060423,10,0.0014677583667872716,3.9,0.0,0.1,categorical_exact,2.0,22.3
adult,full_pool,non_HH,RF,max_depth,0.46337522270928694,0.07332192174691406,10,0.0027499004801211325,1.0,1.0,1.0,numeric_exact,4.0,7.7
adult,full_pool,non_HH,RF,max_features,0.18107370318387145,0.07538539140574281,10,0.002865756763086859,2.3,0.0,0.9,categorical_exact,3.0,13.0
adult,full_pool,non_HH,RF,min_samples_leaf,0.1076575520897105,0.0795686935084937,10,0.002865756763086859,3.1,0.0,0.8,numeric_exact,3.0,12.9
adult,full_pool,non_HH,RF,min_samples_split,0.052321612274464815,0.058731668512248855,10,0.002865756763086859,4.1,0.0,0.2,numeric_exact,3.0,14.1
adult,full_pool,non_HH,RF,n_estimators,0.028989947704269863,0.01794950938443174,10,0.002865756763086859,4.5,0.0,0.1,numeric_exact,3.0,13.7
adult,full_pool,non_HH,kNN,n_neighbors,0.4941778649656926,0.02477491884446034,10,0.00414090772258933,1.0,1.0,1.0,numeric_tertile,3.0,15.1
adult,full_pool,non_HH,kNN,weights,0.006708823057152638,0.0028416894255611936,10,0.00414090772258933,2.0,0.0,1.0,categorical_exact,2.0,24.3
adult,full_pool,non_HH,kNN,p,0.0007534232402581009,0.0004434135911158457,10,0.00414090772258933,3.0,0.0,1.0,numeric_exact,2.0,24.6
