dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
compas,1,Rashomon,all,GBM,subsample,,vm_between_group_ratio,0.015414060473434982
compas,1,Rashomon,all,LogReg,C,,vm_between_group_ratio,0.7519363569670225
compas,1,Rashomon,all,LogReg,l1_ratio,,vm_between_group_ratio,0.08900146008170715
compas,1,Rashomon,all,MLP,learning_rate_init,,vm_between_group_ratio,0.20846996544769772
compas,1,Rashomon,all,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.18708170831688453
compas,1,Rashomon,all,MLP,activation,,vm_between_group_ratio,0.035962135385973724
compas,1,Rashomon,all,MLP,alpha,,vm_between_group_ratio,0.03577140326425823
compas,1,Rashomon,all,RF,max_features,,vm_between_group_ratio,0.2884064036644775
compas,1,Rashomon,all,RF,max_depth,,vm_between_group_ratio,0.1397484454332645
compas,1,Rashomon,all,RF,min_samples_leaf,,vm_between_group_ratio,0.01975379773137718
compas,1,Rashomon,all,RF,n_estimators,,vm_between_group_ratio,0.017716840091924833
compas,1,Rashomon,all,RF,min_samples_split,,vm_between_group_ratio,0.017514202359432067
compas,1,Rashomon,all,kNN,n_neighbors,,vm_between_group_ratio,0.6389887741880151
compas,1,Rashomon,all,kNN,weights,,vm_between_group_ratio,0.4888583017355688
compas,1,Rashomon,all,kNN,p,,vm_between_group_ratio,0.040890229135079975
compas,1,Rashomon,HH,GBM,max_depth,,vm_between_group_ratio,0.17978673655233632
compas,1,Rashomon,HH,GBM,n_estimators,,vm_between_group_ratio,0.06178346110184507
compas,1,Rashomon,HH,GBM,subsample,,vm_between_group_ratio,0.0523001502075478
compas,1,Rashomon,HH,GBM,learning_rate,,vm_between_group_ratio,0.021957411933465815
compas,1,Rashomon,HH,LogReg,C,,vm_between_group_ratio,0.6078540866357685
compas,1,Rashomon,HH,LogReg,l1_ratio,,vm_between_group_ratio,0.10116864972887545
compas,1,Rashomon,HH,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.23815037366073513
compas,1,Rashomon,HH,MLP,learning_rate_init,,vm_between_group_ratio,0.18401277901838584
compas,1,Rashomon,HH,MLP,activation,,vm_between_group_ratio,0.046697297199379345
compas,1,Rashomon,HH,MLP,alpha,,vm_between_group_ratio,0.038976372587365415
compas,1,Rashomon,HH,RF,max_features,,vm_between_group_ratio,0.3271326623530849
compas,1,Rashomon,HH,RF,max_depth,,vm_between_group_ratio,0.19730009652436736
compas,1,Rashomon,HH,RF,n_estimators,,vm_between_group_ratio,0.08114657120613392
compas,1,Rashomon,HH,RF,min_samples_leaf,,vm_between_group_ratio,0.05516572636446487
compas,1,Rashomon,HH,RF,min_samples_split,,vm_between_group_ratio,0.010717920146611715
compas,1,Rashomon,HH,kNN,n_neighbors,,vm_between_group_ratio,0.7753320010214368
compas,1,Rashomon,HH,kNN,weights,,vm_between_group_ratio,0.3303525521255681
compas,1,Rashomon,HH,kNN,p,,vm_between_group_ratio,0.03524371656410751
compas,1,Rashomon,non_HH,GBM,max_depth,,vm_between_group_ratio,0.198995916301245
compas,1,Rashomon,non_HH,GBM,n_estimators,,vm_between_group_ratio,0.18815922155624284
compas,1,Rashomon,non_HH,GBM,learning_rate,,vm_between_group_ratio,0.0290124705372338
compas,1,Rashomon,non_HH,GBM,subsample,,vm_between_group_ratio,0.008368688922630794
compas,1,Rashomon,non_HH,LogReg,C,,vm_between_group_ratio,0.7632831619711051
compas,1,Rashomon,non_HH,LogReg,l1_ratio,,vm_between_group_ratio,0.08725101561145604
compas,1,Rashomon,non_HH,MLP,learning_rate_init,,vm_between_group_ratio,0.2116511371857489
compas,1,Rashomon,non_HH,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.17153783357826632
compas,1,Rashomon,non_HH,MLP,alpha,,vm_between_group_ratio,0.034834201282583764
compas,1,Rashomon,non_HH,MLP,activation,,vm_between_group_ratio,0.032539657020314465
compas,1,Rashomon,non_HH,RF,max_features,,vm_between_group_ratio,0.26616300275497967
compas,1,Rashomon,non_HH,RF,max_depth,,vm_between_group_ratio,0.14790604861093526
compas,1,Rashomon,non_HH,RF,min_samples_split,,vm_between_group_ratio,0.02528288031364688
compas,1,Rashomon,non_HH,RF,min_samples_leaf,,vm_between_group_ratio,0.012130115595617786
compas,1,Rashomon,non_HH,RF,n_estimators,,vm_between_group_ratio,0.007782739395899363
compas,1,Rashomon,non_HH,kNN,n_neighbors,,vm_between_group_ratio,0.6165703000927922
compas,1,Rashomon,non_HH,kNN,weights,,vm_between_group_ratio,0.5136805934962058
compas,1,Rashomon,non_HH,kNN,p,,vm_between_group_ratio,0.04153976678964483
compas,2,Rashomon,all,__global__,__family__,model_name,ratio_of_sums,0.4166610892003507
compas,2,Rashomon,all,__global__,__family__,model_name,mean_ratio,0.37253235257737777
compas,2,Rashomon,HH,__global__,__family__,model_name,ratio_of_sums,0.49964227899118036
compas,2,Rashomon,HH,__global__,__family__,model_name,mean_ratio,0.47256772417267007
compas,2,Rashomon,non_HH,__global__,__family__,model_name,ratio_of_sums,0.4032307428289883
compas,2,Rashomon,non_HH,__global__,__family__,model_name,mean_ratio,0.3656410269785909
compas,2,Rashomon,all,GBM,learning_rate,,decomp_ratio_of_sums,0.32863477380842243
compas,2,Rashomon,all,GBM,max_depth,,decomp_ratio_of_sums,0.26519277985860035
compas,2,Rashomon,all,GBM,subsample,,decomp_ratio_of_sums,0.1669121419773038
