rule,frequency,label
cat__other_payment_plans_none <= 0.5 AND num__age > -0.4483 AND num__installment_commitment <= 0.479 AND cat__purpose_new car <= 0.5,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND num__age > -0.4483 AND num__installment_commitment <= 0.479 AND cat__purpose_new car > 0.5,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND num__age > -0.4483 AND num__installment_commitment > 0.479 AND cat__purpose_new car > 0.5,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount <= 1.658 AND num__credit_amount <= -0.9289 AND cat__personal_status_female div/dep/mar > 0.5,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount > 1.658 AND cat__checking_status_no checking <= 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= -0.9276 AND cat__job_unskilled resident <= 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > -0.9276 AND num__credit_amount > 1.785 AND num__installment_commitment <= -0.4135,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__other_parties_co applicant <= 0.5 AND num__residence_since <= 0.585 AND cat__personal_status_female div/dep/mar <= 0.5,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__other_parties_co applicant <= 0.5 AND num__residence_since <= 0.585 AND cat__personal_status_female div/dep/mar > 0.5,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__other_parties_co applicant <= 0.5 AND num__residence_since > 0.585 AND cat__checking_status_0<=X<200 > 0.5,0.02,HV_q
num__credit_amount <= 0.7155 AND cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= -0.9289 AND cat__checking_status_no checking <= 0.5,0.02,HV_q
num__credit_amount <= 0.7155 AND cat__other_payment_plans_bank > 0.5 AND cat__job_skilled > 0.5 AND num__credit_amount <= -0.1086,0.02,HV_q
num__credit_amount > 0.7155 AND num__age <= 0.7174 AND cat__employment_4<=X<7 <= 0.5 AND cat__property_magnitude_car <= 0.5,0.02,HV_q
num__credit_amount > 0.7155 AND num__age <= 0.7174 AND cat__employment_4<=X<7 <= 0.5 AND cat__property_magnitude_car > 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= -0.985,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > -0.985 AND num__credit_amount > 1.063 AND num__age <= -0.1029,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND num__credit_amount <= -0.3753,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND num__credit_amount > -0.3753 AND cat__property_magnitude_car <= 0.5,0.02,HV_q
num__credit_amount <= 0.7684 AND num__credit_amount <= -0.886 AND num__age <= 0.9765 AND cat__credit_history_existing paid <= 0.5,0.02,HV_q
num__credit_amount > 0.7684 AND cat__employment_4<=X<7 <= 0.5 AND num__age > -0.4915 AND num__age <= 0.7174,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= 1.858 AND num__credit_amount <= -0.9074 AND num__duration > -0.8465,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.858 AND cat__credit_history_existing paid <= 0.5,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__job_unskilled resident <= 0.5 AND num__duration <= -0.005327 AND num__credit_amount <= -0.4924,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__job_unskilled resident <= 0.5 AND num__duration > -0.005327 AND num__residence_since <= -0.329,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__job_unskilled resident <= 0.5 AND num__duration > -0.005327 AND num__residence_since > -0.329,0.02,HV_q
num__credit_amount <= 1.81 AND num__credit_amount <= -0.8609 AND cat__job_unskilled resident <= 0.5 AND cat__property_magnitude_life insurance <= 0.5,0.02,HV_q
num__credit_amount <= 1.81 AND num__credit_amount <= -0.8609 AND cat__job_unskilled resident <= 0.5 AND cat__property_magnitude_life insurance > 0.5,0.02,HV_q
num__credit_amount <= 1.81 AND num__credit_amount > -0.8609 AND cat__property_magnitude_no known property > 0.5 AND cat__other_payment_plans_bank > 0.5,0.02,HV_q
num__credit_amount > 1.81 AND num__num_dependents <= 1.048 AND num__age <= -0.05973,0.02,HV_q
num__credit_amount > 1.81 AND num__num_dependents <= 1.048 AND num__age > -0.05973,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND num__installment_commitment <= 0.479 AND cat__checking_status_no checking <= 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND num__installment_commitment <= 0.479 AND cat__checking_status_no checking > 0.5,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND cat__purpose_furniture/equipment <= 0.5 AND num__credit_amount <= -0.00507,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND cat__purpose_furniture/equipment <= 0.5 AND num__credit_amount > -0.00507,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= 1.063 AND num__credit_amount <= -0.9826,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND num__age <= 0.7174 AND num__installment_commitment <= -0.4135,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND num__age <= 0.7174 AND num__installment_commitment > -0.4135,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__job_unskilled resident <= 0.5 AND num__age <= -0.4051,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__job_unskilled resident <= 0.5 AND num__age > -0.4051 AND num__credit_amount <= -0.1086,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__job_unskilled resident <= 0.5 AND num__age > -0.4051 AND num__credit_amount > -0.1086,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__employment_1<=X<4 <= 0.5 AND cat__job_skilled > 0.5,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__employment_1<=X<4 > 0.5 AND num__installment_commitment <= 0.479 AND cat__other_payment_plans_stores <= 0.5,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__employment_1<=X<4 > 0.5 AND num__installment_commitment <= 0.479 AND cat__other_payment_plans_stores > 0.5,0.02,HV_q
cat__other_payment_plans_none <= 0.5 AND cat__employment_1<=X<4 > 0.5 AND num__installment_commitment > 0.479,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount <= 0.9934 AND num__credit_amount <= -0.9289 AND cat__employment_>=7 <= 0.5,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount > 0.9934 AND cat__credit_history_existing paid <= 0.5 AND num__age <= 0.0698,0.02,HV_q
cat__other_payment_plans_none > 0.5 AND num__credit_amount > 0.9934 AND cat__credit_history_existing paid <= 0.5 AND num__age > 0.0698,0.02,HV_q
cat__job_unemp/unskilled non res <= 0.5 AND cat__other_payment_plans_bank <= 0.5 AND cat__checking_status_<0 > 0.5 AND cat__personal_status_female div/dep/mar > 0.5,0.02,HV_q
cat__job_unemp/unskilled non res <= 0.5 AND cat__other_payment_plans_bank > 0.5 AND num__age > -0.4051 AND cat__property_magnitude_no known property <= 0.5,0.02,HV_q
cat__job_unemp/unskilled non res <= 0.5 AND cat__other_payment_plans_bank > 0.5 AND num__age > -0.4051 AND cat__property_magnitude_no known property > 0.5,0.02,HV_q
cat__job_unemp/unskilled non res > 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND num__residence_since <= 0.585 AND num__duration <= 2.013,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND num__credit_amount <= -0.3753 AND num__age <= -0.1029,0.02,HV_q
