rule,frequency,label
num__age > -1.026 AND num__priors_count > 1.049 AND num__age > 1.227 AND num__age <= 1.644,0.02,HV_q
num__age > -1.026 AND num__priors_count > 1.049 AND num__age > 1.227 AND num__age > 1.644,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__c_charge_degree_F <= 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__c_charge_degree_F > 0.5 AND cat__race_African-American <= 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__c_charge_degree_F > 0.5 AND cat__race_African-American > 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND cat__race_Other <= 0.5 AND num__age > 2.728,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND cat__race_Other > 0.5 AND num__priors_count <= 0.01311,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND cat__race_Other > 0.5 AND num__priors_count > 0.01311,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age <= -0.1914 AND cat__race_African-American <= 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age > -0.1914 AND num__age <= 1.227,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age > -0.1914 AND num__age > 1.227,0.02,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age <= -1.192 AND cat__race_Caucasian <= 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age <= -1.192 AND cat__race_Caucasian > 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.395 AND num__age <= 2.812,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.395 AND num__age > 2.812,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 1.06 AND cat__race_African-American > 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.06 AND num__age <= 1.644,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.06 AND num__age > 1.644,0.02,HV_q
num__priors_count <= 1.049 AND num__age > -1.026 AND num__age > 2.395 AND num__age <= 2.728,0.02,HV_q
num__priors_count <= 1.049 AND num__age > -1.026 AND num__age > 2.395 AND num__age > 2.728,0.02,HV_q
num__priors_count > 1.049 AND num__age <= -0.2748 AND cat__race_African-American <= 0.5 AND cat__race_Caucasian <= 0.5,0.02,HV_q
num__priors_count > 1.049 AND num__age <= -0.2748 AND cat__race_African-American <= 0.5 AND cat__race_Caucasian > 0.5,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.2748 AND num__age <= 1.31 AND cat__c_charge_degree_F <= 0.5,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.2748 AND num__age <= 1.31 AND cat__c_charge_degree_F > 0.5,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.2748 AND num__age > 1.31 AND num__priors_count <= 2.912,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.2748 AND num__age > 1.31 AND num__priors_count > 2.912,0.02,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age <= -1.192 AND cat__race_African-American <= 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age <= -1.192 AND cat__race_African-American > 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.728 AND cat__c_charge_degree_F <= 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.728 AND cat__c_charge_degree_F > 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age <= -0.2748 AND cat__race_African-American <= 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 1.435 AND cat__race_African-American <= 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 1.435 AND cat__race_African-American > 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.435 AND num__priors_count <= 2.084,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.435 AND num__priors_count > 2.084,0.02,HV_q
num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count <= -0.6081 AND cat__c_charge_degree_F <= 0.5,0.02,HV_q
num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count <= -0.6081 AND cat__c_charge_degree_F > 0.5,0.02,HV_q
num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count > -0.6081 AND num__priors_count <= -0.4011,0.02,HV_q
num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count > -0.6081 AND num__priors_count > -0.4011,0.02,HV_q
num__age <= -1.026 AND num__age > -1.192 AND cat__race_African-American <= 0.5 AND cat__sex_Male <= 0.5,0.02,HV_q
num__age <= -1.026 AND num__age > -1.192 AND cat__race_African-American <= 0.5 AND cat__sex_Male > 0.5,0.02,HV_q
num__age > -1.026 AND num__priors_count <= 1.049 AND num__age <= 2.645 AND cat__race_Other > 0.5,0.02,HV_q
num__age > -1.026 AND num__priors_count <= 1.049 AND num__age > 2.645 AND num__age <= 2.728,0.02,HV_q
num__age > -1.026 AND num__priors_count <= 1.049 AND num__age > 2.645 AND num__age > 2.728,0.02,HV_q
num__age > -1.026 AND num__priors_count > 1.049 AND num__age <= 1.06 AND cat__race_African-American <= 0.5,0.02,HV_q
num__age > -1.026 AND num__priors_count > 1.049 AND num__age > 1.06 AND num__age <= 1.978,0.02,HV_q
num__age > -1.026 AND num__priors_count > 1.049 AND num__age > 1.06 AND num__age > 1.978,0.02,HV_q
num__priors_count <= 1.049 AND num__age > -1.192 AND cat__race_Asian <= 0.5 AND cat__race_Other > 0.5,0.02,HV_q
num__priors_count <= 1.049 AND num__age > -1.192 AND cat__race_Asian > 0.5 AND num__priors_count <= -0.2975,0.02,HV_q
num__priors_count <= 1.049 AND num__age > -1.192 AND cat__race_Asian > 0.5 AND num__priors_count > -0.2975,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.108 AND num__age <= 1.31 AND cat__sex_Female <= 0.5,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.108 AND num__age <= 1.31 AND cat__sex_Female > 0.5,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.108 AND num__age > 1.31 AND num__priors_count <= 2.084,0.02,HV_q
num__priors_count > 1.049 AND num__age > -0.108 AND num__age > 1.31 AND num__priors_count > 2.084,0.02,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age > -1.192 AND cat__c_charge_degree_M > 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age <= 2.395 AND cat__race_Other > 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.395 AND num__priors_count <= 0.1167,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.395 AND num__priors_count > 0.1167,0.02,HV_q
num__priors_count > 1.256 AND num__age <= -0.2748 AND num__priors_count > 2.498,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.06 AND num__priors_count <= 1.463,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.06 AND num__priors_count > 1.463,0.02,HV_q
num__priors_count <= 1.256 AND num__age <= -0.8588 AND cat__race_African-American <= 0.5 AND num__age <= -1.192,0.02,HV_q
num__priors_count <= 1.256 AND num__age <= -0.8588 AND cat__race_African-American <= 0.5 AND num__age > -1.192,0.02,HV_q
num__priors_count <= 1.256 AND num__age <= -0.8588 AND cat__race_African-American > 0.5 AND num__age <= -1.192,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -0.8588 AND num__age <= 1.978 AND cat__race_Other > 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -0.8588 AND num__age > 1.978 AND num__age <= 2.77,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -0.8588 AND num__age > 1.978 AND num__age > 2.77,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 1.227 AND num__priors_count <= 1.877,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.227 AND num__age <= 1.644,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.227 AND num__age > 1.644,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.395 AND cat__sex_Female <= 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 1.143 AND cat__race_African-American <= 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 1.143 AND cat__race_African-American > 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.143 AND num__age <= 1.644,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.143 AND num__age > 1.644,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__race_Caucasian <= 0.5 AND cat__c_charge_degree_M <= 0.5,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__race_Caucasian <= 0.5 AND cat__c_charge_degree_M > 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.256 AND cat__race_Asian <= 0.5 AND num__age <= -0.8588,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.256 AND num__age <= -0.2748 AND cat__sex_Female > 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 1.06,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.256 AND num__age > -0.2748 AND num__age > 1.06,0.02,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__race_Caucasian <= 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.256 AND cat__race_Asian <= 0.5 AND num__age > 2.812,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.256 AND num__age > -0.1914 AND cat__race_African-American <= 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.256 AND num__age > -0.1914 AND cat__race_African-American > 0.5,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.645 AND num__priors_count <= 0.1167,0.02,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age > 2.645 AND num__priors_count > 0.1167,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.5251 AND num__age <= 0.768 AND cat__race_African-American <= 0.5,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.5251 AND num__age > 0.768 AND num__age <= 1.31,0.02,HV_q
num__priors_count > 1.256 AND num__age > -0.5251 AND num__age > 0.768 AND num__age > 1.31,0.02,HV_q
num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__c_charge_degree_F <= 0.5,0.02,HV_q
num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__c_charge_degree_F > 0.5,0.02,HV_q
num__age <= -1.026 AND num__age > -1.192 AND cat__race_African-American > 0.5 AND num__priors_count > 0.01311,0.02,HV_q
num__age > -1.026 AND num__priors_count <= 1.049 AND cat__race_African-American <= 0.5 AND cat__race_Caucasian <= 0.5,0.02,HV_q
num__age > -1.026 AND num__priors_count <= 1.049 AND cat__race_African-American > 0.5 AND num__age > 2.311,0.02,HV_q
num__age > -1.026 AND num__priors_count > 1.049 AND num__age > -0.2748 AND num__age <= 1.352,0.02,HV_q
num__age > -1.026 AND num__priors_count > 1.049 AND num__age > -0.2748 AND num__age > 1.352,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND num__age <= 2.395 AND cat__race_Asian > 0.5,0.02,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND num__age > 2.395 AND num__priors_count > -0.6081,0.02,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age <= -0.108 AND cat__race_Caucasian > 0.5,0.02,HV_q
